Quarter,Dept,Business area or arms length body,Contract Title and description,Supplier,KPI name and description,Good target,Rating,Can this KPI be published,Comments
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Type C - Call Off 7,Openreach,Supplier?s ability to meet BDUK thresholds for financial standing and funding confidence,0% - 25%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Leicestershire & Warwickshire,CityFibre Ltd,Stage 2 Build - progress complete against milestones,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Buckinghamshire Hertfordshire & East of Berkshire,CityFibre Ltd,"Stage 2 Build - contract management reporting processes ? measured as monthly reports submitted on time, measured cumulatively.",90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Leicestershire & Warwickshire,CityFibre Ltd,"Stage 2 Build - contract management reporting processes ? measured as monthly reports submitted on time, measured cumulatively.",90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Buckinghamshire Hertfordshire & East of Berkshire,CityFibre Ltd,Supplier?s ability to meet BDUK thresholds for financial standing and funding confidence,0% - 25%,Approaching Target,Yes,"CityFibre Ltd financial distress monitoring score remains low, however CityFibre has worked with the credit rating agency to improve the score of the monitored company following the successful completion of it's funding round. BDUK is assessing the impact of this on the overall scores."
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Suffolk,CityFibre Ltd,Supplier?s ability to meet BDUK thresholds for financial standing and funding confidence,0% - 25%,Approaching Target,Yes,"CityFibre Ltd financial distress monitoring score remains low, however CityFibre has worked with the credit rating agency to improve the score of the monitored company following the successful completion of it's funding round. BDUK is assessing the impact of this on the overall scores."
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - East Gloucestershire,Gigaclear,Supplier?s ability to meet BDUK thresholds for financial standing and funding confidence,0% - 25%,Approaching Target,Yes,"BDUK is working with the supplier to strengthen confidence in the monitored elements informing this score, which is expected to improve over the year."
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Derbyshire,Connect Fibre Ltd,Stage 2 Build - progress complete against milestones,90% +,Good,Yes,No milestone this quarter
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Northumberland,Gofibre,"Social Value - œ15,000 awarded to local business/ initiatives through the GoFurther Fund",90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Teesdale/Durham,Gofibre,Reporting Processes - completeness of reports submitted.,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Mid Cornwall,Wildanet,"Stage 2 Build - contract management reporting processes ? measured as monthly reports submitted on time, measured cumulatively.",90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Kent,CityFibre Ltd,Supplier?s ability to meet BDUK thresholds for financial standing and funding confidence,0% - 25%,Approaching Target,Yes,"CityFibre Ltd financial distress monitoring score remains low, however CityFibre has worked with the credit rating agency to improve the score of the monitored company following the successful completion of it's funding round. BDUK is assessing the impact of this on the overall scores."
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Type C - Call Off 3,Openreach,Social Value - Delivery of the agreed number of Work Ready events to clusters of schools in regions benefitting from the infrastructure build.,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Type C - Call Off 3,Openreach,Progress complete against milestones,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Type C - Call Off 6,Openreach,Progress complete against milestones,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Norfolk,CityFibre Ltd,"Stage 2 Build - contract management reporting processes ? measured as monthly reports submitted on time, measured cumulatively.",90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Type C - Call Off 1,Openreach,Social Value - Delivery of the agreed number of Work Ready events to clusters of schools in regions benefitting from the infrastructure build.,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Nottingham and Lincolnshire,CityFibre Ltd,Social Value - Community Fund KPI - % of Community Fund allocated over term of contract,90% +,Other - Consider returned,Yes,These scores reflect that this contract is not mobilised and therefore build activity cannot be tracked
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Type C - Call Off 6,Openreach,Supplier?s ability to meet BDUK thresholds for financial standing and funding confidence,0% - 25%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - North East Staffordshire,Connect Fibre Ltd,"Stage 2 Build - contract management reporting processes ? measured as monthly reports submitted on time, measured cumulatively.",90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - East Gloucestershire,Gigaclear,Stage 2 Build - progress complete against milestones,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Kent,CityFibre Ltd,Stage 2 Build - progress complete against milestones,90% +,Other - Consider returned,Yes,No milestone for this contract during this quarter
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - North Oxfordshire,Gigaclear,"Stage 2 Build - contract management reporting processes ? measured as monthly reports submitted on time, measured cumulatively.",90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Buckinghamshire Hertfordshire & East of Berkshire,CityFibre Ltd,Social Value - Community Fund KPI - % of Community Fund allocated over term of contract,90% +,Approaching Target,Yes,"Actual spend / expected spend

œ46,011 / œ77,143 = 60%

The Social Value element is currently undergoing a joint review by BDUK and CityFibre. While some KPIs are being met, the review remains ongoing."
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Cumbria,Fibrus,Supplier?s ability to meet BDUK thresholds for financial standing and funding confidence,0% - 25%,Approaching Target,Yes,Fibrus Finacial Data being reviewed by Finance/SRM
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - New Forest,Wessex Internet,Supplier?s ability to meet BDUK thresholds for financial standing and funding confidence,0% - 25%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - South Wiltshire,Wessex Internet,Supplier?s ability to meet BDUK thresholds for financial standing and funding confidence,0% - 25%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,"Gigabit Infrastructure Subsidy - Bedfordshire, Northamptonshire, Milton Keynes",CityFibre Ltd,Supplier?s ability to meet BDUK thresholds for financial standing and funding confidence,0% - 25%,Approaching Target,Yes,"CityFibre Ltd financial distress monitoring score remains low, however CityFibre has worked with the credit rating agency to improve the score of the monitored company following the successful completion of it's funding round. BDUK is assessing the impact of this on the overall scores."
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Mid Cornwall,Wildanet,Supplier?s ability to meet BDUK thresholds for financial standing and funding confidence,0% - 25%,Requires Improvement,Yes,Routine financial monitoring and engagement continue to support confidence in the supplier's onging reporting
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - East / West Sussex,CityFibre Ltd,Supplier?s ability to meet BDUK thresholds for financial standing and funding confidence,0% - 25%,Approaching Target,Yes,"CityFibre Ltd financial distress monitoring score remains low, however CityFibre has worked with the credit rating agency to improve the score of the monitored company following the successful completion of it's funding round. BDUK is assessing the impact of this on the overall scores."
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,"Gigabit Infrastructure Subsidy - Bedfordshire, Northamptonshire, Milton Keynes",CityFibre Ltd,Stage 2 Build - progress complete against milestones,90% +,Other - Consider returned,Yes,No milestone for this contract during this quarter
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Type C - Call Off 1,Openreach,Supplier?s ability to meet BDUK thresholds for financial standing and funding confidence,0% - 25%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Type C - Call Off 7,Openreach,"Contract management reporting processes ? measured as monthly reports submitted on time, measured cumulatively.",90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - North East Staffordshire,Connect Fibre Ltd,"New jobs in local companies 10 New Roles with contractors.
Roles to be advertised and targeted in the local area on LinkedIn.",90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - North Shropshire,Freedom Fibre,Stage 3 Reporting Processes - measured as completeness of reports submitted,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - North Shropshire,Freedom Fibre,Supplier?s ability to meet BDUK thresholds for financial standing and funding confidence,0% - 25%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Type C - Call Off 4,Openreach,"Contract management reporting processes ? measured as monthly reports submitted on time, measured cumulatively.",90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - North Shropshire,Freedom Fibre,"Stage 3 - contract management reporting processes ? measured as reports submitted on time, measured cumulatively.",90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - South Oxfordshire,Gigaclear,Supplier?s ability to meet BDUK thresholds for financial standing and funding confidence,0% - 25%,Approaching Target,Yes,"BDUK is working with the supplier to strengthen confidence in the monitored elements informing this score, which is expected to improve over the year."
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Type C - Call Off 3,Openreach,Supplier?s ability to meet BDUK thresholds for financial standing and funding confidence,0% - 25%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Hampshire,CityFibre Ltd,Social Value - CityFibre Community Fund allocated over the term of the contract. Allocated to tackle; Wellbeing; Economic Inequalities and Equal Opportunities.,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Nottingham and Lincolnshire,CityFibre Ltd,Stage 2 Build - progress complete against milestones,90% +,Other - Consider returned,Yes,These scores reflect that this contract is not mobilised and therefore build activity cannot be tracked
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,"Gigabit Infrastructure Subsidy - Bedfordshire, Northamptonshire, Milton Keynes",CityFibre Ltd,Social Value - Community Fund KPI - % of Community Fund allocated over term of contract,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - South Oxfordshire,Gigaclear,Social Value - Apprenticeship Programme - Gigaclear to provide opportunities for 5 apprenticeships over term of the contract,90% +,Approaching Target,Yes,"The Social Value element is currently undergoing a joint review by BDUK and Gigaclear. While some KPIs are being met, the review remains ongoing."
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - South West Cornwall,Wildanet,"Stage 2 Build - contract management reporting processes ? measured as monthly reports submitted on time, measured cumulatively.",90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - North Yorkshire,Quickline,Supplier?s ability to meet BDUK thresholds for financial standing and funding confidence,0% - 25%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - New Forest,Wessex Internet,Stage 2 Build - progress complete against milestones,90% +,Approaching Target,Yes,Calculated as actual build against required build for June '26 milestone. The supplier is working with BDUK to rectify build delay.
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - South West Cornwall,Wildanet,Stage 2 Build - progress complete against milestones,90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - Suffolk,CityFibre Ltd,Stage 2 Build - progress complete against milestones,90% +,Other - Consider returned,Yes,No milestone this quarter
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - North Dorset,Wessex Internet,"Stage 2 Build - contract management reporting processes ? measured as monthly reports submitted on time, measured cumulatively.",90% +,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,DSIT,Building Digital UK,Gigabit Infrastructure Subsidy - South West Cornwall,Wildanet,Social Value - Apprenticeship Programme - Wildanet to provide opportunities for 12 apprenticeships over term of contract,90% +,Good,Yes,
